Time;Total_SIF
03.06.2019 10:09;59.24858508
03.06.2019 10:09;58.12189683
03.06.2019 10:10;46.33183572
03.06.2019 10:11;65.28169083
03.06.2019 10:11;64.77418191
03.06.2019 10:12;43.63567536
03.06.2019 10:13;70.23356441
03.06.2019 10:13;65.30068376
03.06.2019 10:14;39.59707005
03.06.2019 10:14;50.26554208
03.06.2019 10:15;51.33023057
03.06.2019 10:16;46.77458409
03.06.2019 10:16;63.16235139
03.06.2019 10:17;70.00815273
03.06.2019 10:18;53.98778233
03.06.2019 10:18;70.23975821
03.06.2019 10:19;47.3113439
03.06.2019 10:20;77.4019568
03.06.2019 10:20;47.66838568
03.06.2019 10:21;47.43454374
03.06.2019 10:21;75.82179405
03.06.2019 10:22;49.09213057
03.06.2019 10:23;74.06603835
03.06.2019 10:23;60.13452373
03.06.2019 10:24;58.57471682
03.06.2019 10:25;56.76811872
03.06.2019 10:25;67.91818599
03.06.2019 10:26;48.2273046
03.06.2019 10:27;49.65250205
03.06.2019 10:27;78.23009212
03.06.2019 10:28;58.99283987
03.06.2019 10:28;78.86293305
03.06.2019 10:29;69.09351925
03.06.2019 10:30;56.26925551
03.06.2019 10:30;54.05390067
03.06.2019 10:31;60.7463497
03.06.2019 10:32;62.97327767
03.06.2019 10:32;80.95389533
03.06.2019 10:33;69.76805328
03.06.2019 10:33;48.89929982
03.06.2019 10:34;43.06227348
03.06.2019 10:35;52.31747883
03.06.2019 10:35;38.07262501
03.06.2019 10:36;52.37388817
03.06.2019 10:37;57.37627038
03.06.2019 10:37;57.67697363
03.06.2019 10:38;40.85656137
03.06.2019 10:39;44.17007778
03.06.2019 10:39;63.12992913
03.06.2019 10:40;52.71888621
03.06.2019 10:40;38.29593358
03.06.2019 10:41;56.78112244
03.06.2019 10:42;44.67037753
03.06.2019 10:42;36.41427046
03.06.2019 10:43;43.54699515
03.06.2019 10:44;58.19316534
03.06.2019 10:44;38.18382091
03.06.2019 10:45;47.81523348
03.06.2019 10:46;66.62675476
03.06.2019 10:46;50.1715622
03.06.2019 10:47;40.90154194
03.06.2019 10:47;53.63843251
03.06.2019 10:48;43.31405101
03.06.2019 10:49;76.15360832
03.06.2019 10:49;80.74744456
03.06.2019 10:50;70.48544867
03.06.2019 10:51;67.57850082
03.06.2019 10:51;56.52440617
03.06.2019 10:52;79.51495943
03.06.2019 10:52;76.43883161
03.06.2019 10:53;56.06988572
03.06.2019 10:54;67.23539023
03.06.2019 10:54;85.75406299
03.06.2019 10:55;68.42670251
03.06.2019 10:56;71.64511964
03.06.2019 10:56;72.57569315
03.06.2019 10:57;47.46210748
03.06.2019 10:58;83.48780908
03.06.2019 10:58;66.92477182
03.06.2019 10:59;52.7599759
03.06.2019 11:00;81.93932371
03.06.2019 11:00;73.81773183
03.06.2019 11:01;49.90450102
03.06.2019 11:01;65.96896244
03.06.2019 11:02;63.86651957
03.06.2019 11:03;56.07538391
03.06.2019 11:03;64.68178777
03.06.2019 11:04;46.74943397
03.06.2019 11:05;69.30334038
03.06.2019 11:05;54.34863395
03.06.2019 11:06;37.55473208
03.06.2019 11:06;43.45420572
03.06.2019 11:07;62.75533786
03.06.2019 11:08;51.44808721
03.06.2019 11:08;60.43576057
03.06.2019 11:09;90.92223271
03.06.2019 11:10;65.41067441
03.06.2019 11:10;44.4279779
03.06.2019 11:11;46.25288787
03.06.2019 11:12;44.03324903
03.06.2019 11:12;65.49760531
03.06.2019 11:13;40.38864794
03.06.2019 11:13;42.23594377
03.06.2019 11:14;45.20348459
03.06.2019 11:15;40.55156522
03.06.2019 11:15;38.33670792
03.06.2019 11:16;51.19371287
03.06.2019 11:17;55.98131152
03.06.2019 11:17;25.52088357
03.06.2019 11:18;46.096111
03.06.2019 11:19;57.5081625
03.06.2019 11:19;61.18775074
03.06.2019 11:20;59.600608
03.06.2019 11:20;71.68881456
03.06.2019 11:21;67.67228036
03.06.2019 11:22;38.85752499
03.06.2019 11:22;49.64250118
03.06.2019 11:23;59.7172964
03.06.2019 11:24;55.10945059
03.06.2019 11:24;68.24681804
03.06.2019 11:25;64.38036346
03.06.2019 11:25;52.86882153
03.06.2019 11:26;59.88436263
03.06.2019 11:27;88.25827005
03.06.2019 11:27;55.98350286
03.06.2019 11:28;55.28415679
03.06.2019 11:29;89.6631831
03.06.2019 11:29;66.74572681
03.06.2019 11:30;55.77420216
03.06.2019 11:31;47.16939113
03.06.2019 11:31;57.44691946
03.06.2019 11:32;64.59870099
03.06.2019 11:32;73.61829921
03.06.2019 11:33;65.7491077
03.06.2019 11:34;70.95758408
03.06.2019 11:34;67.25755268
03.06.2019 11:35;76.92268992
03.06.2019 11:36;73.672256
03.06.2019 11:36;64.82531259
03.06.2019 11:37;71.6027497
03.06.2019 11:38;75.74851048
03.06.2019 11:38;64.86129865
03.06.2019 11:39;59.77454902
03.06.2019 11:39;71.34860967
03.06.2019 11:40;65.16955438
03.06.2019 11:41;56.97724734
03.06.2019 11:41;73.80648234
03.06.2019 11:42;58.16319719
03.06.2019 11:43;52.41343769
03.06.2019 11:43;74.05860965
03.06.2019 11:44;75.08467747
03.06.2019 11:45;58.69725207
03.06.2019 11:45;60.49106171
03.06.2019 11:46;43.09276933
03.06.2019 11:46;59.82752573
03.06.2019 11:47;75.72582059
03.06.2019 11:48;63.32473288
03.06.2019 11:48;59.53092885
03.06.2019 11:49;54.38272499
03.06.2019 11:50;88.3006798
03.06.2019 11:50;52.15523353
03.06.2019 11:51;65.91996856
03.06.2019 11:52;54.87936796
03.06.2019 11:52;68.36130918
03.06.2019 11:53;45.1072847
03.06.2019 11:54;58.0702103
03.06.2019 11:54;56.72878106
03.06.2019 11:55;77.118348
03.06.2019 11:55;53.52189679
03.06.2019 11:56;50.31266749
03.06.2019 11:57;42.71370151
03.06.2019 11:57;72.63574649
03.06.2019 11:58;43.94823142
03.06.2019 11:59;57.39762331
03.06.2019 11:59;68.74355977
03.06.2019 12:00;48.6118433
03.06.2019 12:01;39.11932395
03.06.2019 12:01;69.64184323
03.06.2019 12:02;83.32616301
03.06.2019 12:02;72.73035549
03.06.2019 12:03;46.96025351
03.06.2019 12:04;48.63010885
03.06.2019 12:04;48.9463445
03.06.2019 12:05;44.41472956
03.06.2019 12:06;41.7715615
03.06.2019 12:06;59.13066216
